,bytes,Tamaño en bytes,Recibido en bytes,tiempo tardado,bw 
2720,3240,41346,41346,0.0001468658447265,268.4805194805195
2725,3250,41346,41346,0.0001535415649414,256.8074534161491
2733,3260,41346,32600,0.0001540184020996,201.85758513931887
2736,3270,41346,41346,0.000159740447998,246.84179104477613
2741,3280,41346,41346,0.0001578330993652,249.82477341389728
2748,3290,41346,41346,0.0001513957977294,260.4472440944882
2749,3300,41346,41346,0.0001494884490966,263.77033492822966
2757,3310,41346,41346,0.0001552104949951,254.04608294930875
2762,3320,41346,41346,0.0001699924468994,231.95511921458623
2765,3330,41346,41346,0.0001764297485351,223.4918918918919
2768,3340,41346,41346,0.0001671314239501,235.92582025677603
2774,3350,41346,41346,0.0001604557037353,245.74145616641903
2780,3360,41346,41346,0.0001671314239501,235.92582025677603
2783,3370,41346,37976,0.0002369880676269,152.8209255533199
2790,3380,41346,41346,0.0001628398895263,242.14348462664717
2793,3390,41346,37956,0.0001490116119384,242.9184
2799,3400,41346,41346,0.0001482963562011,265.8906752411576
2805,3410,41346,34526,0.0001497268676757,219.9108280254777
2811,3420,41346,41346,0.0001733303070068,227.48830811554333
2813,3430,41346,31056,0.0002048015594482,144.61466821885915
2818,3440,41346,31026,0.0001459121704101,202.7843137254902
2825,3450,41346,37950,0.000152587890625,237.1875
2829,3460,41346,27680,0.0001647472381591,160.2315484804631
2835,3470,41346,38170,0.0001866817474365,194.99361430395916
2840,3480,41346,41346,0.0001533031463623,257.20684292379474
2843,3490,41346,41346,0.0001595020294189,247.21076233183857
2846,3500,41346,41346,0.0001509189605712,261.2701421800948
2851,3510,41346,41346,0.000159740447998,246.84179104477613
2860,3520,41346,41346,0.0001499652862548,262.9316375198728
2865,3530,41346,41346,0.0001659393310546,237.6206896551724
2868,3540,41346,41346,0.0001728534698486,228.11586206896555
2875,3550,41346,41346,0.0001664161682128,236.93982808022923
2876,3560,41346,35600,0.0001673698425292,202.8490028490029
