Tamaño;tiempo (ms);loss;win_size;Tamaño en bytes;tiempo tardado;bw 
4000;20;15;10;299226;0.05286264419555664;5.398219391851057 
4000;20;15;10;299226;0.03871417045593262;7.371051675401376 
5000;20;15;10;299226;0.032292842864990234;8.836761513813624 
5000;20;15;10;299226;0.03258204460144043;8.758325467038395 
5000;20;15;10;299226;0.03329181671142578;8.571600446876165 
6000;20;15;10;299226;0.034038543701171875;8.383559341028802 
6000;20;15;10;299226;0.033806562423706055;8.441087485454354 
6000;20;15;10;299226;0.057065486907958984;5.000643409233341 
7000;20;15;10;299226;0.045122623443603516;6.324192372317154 
7000;20;15;10;e;r;r 
7000;20;15;10;299226;0.03636431694030762;7.84736728231152 
8000;20;15;10;299226;0.03223848342895508;8.851661761008149 
8000;20;15;10;299226;0.03316020965576172;8.605619625550027 
8000;20;15;10;299226;0.036103248596191406;7.904112845708852 
4000;20;20;10;299226;0.0339970588684082;8.393789360001122 
4000;20;20;10;299226;0.0734257698059082;3.8864304964769296 
4000;20;20;10;e;r;r 
5000;20;20;10;299226;0.03481245040893555;8.197186571150711 
5000;20;20;10;299226;0.038512468338012695;7.409656231234485 
5000;20;20;10;299226;0.0544893741607666;5.237060535124374 
6000;20;20;10;299226;0.03735232353210449;7.639796511071253 
6000;20;20;10;299226;0.04817628860473633;5.923331980639989 
6000;20;20;10;e;r;r 
7000;20;20;10;299226;0.07614421844482422;3.7476798216499883 
7000;20;20;10;299226;0.0354156494140625;8.057572167169324 
7000;20;20;10;299226;0.03235507011413574;8.81976611375979 
8000;20;20;10;299226;0.03946566581726074;7.230693948565525 
8000;20;20;10;299226;0.061644792556762695;4.629168809972269 
8000;20;20;10;299226;0.10128569602966309;2.817418077646455 
4000;20;5;5;299226;0.03652834892272949;7.812128371983735 
4000;20;5;5;299226;0.036995649337768555;7.713451611448016 
4000;20;5;5;299226;0.013293266296386719;21.46681971447019 
5000;20;5;5;299226;0.014690399169921875;19.42521423007011 
5000;20;5;5;299226;0.031481266021728516;9.064570363975099 
5000;20;5;5;299226;0.03266167640686035;8.736971962071054 
6000;20;5;5;299226;0.03208780288696289;8.89322812179573 
6000;20;5;5;299226;0.03193950653076172;8.934519721716281 
6000;20;5;5;299226;0.03393840789794922;8.408295163964368 
7000;20;5;5;299226;0.032816410064697266;8.695775998605077 
7000;20;5;5;299226;0.03530764579772949;8.082219716255546 
7000;20;5;5;299226;0.0358121395111084;7.968363658151751 
8000;20;5;5;299226;0.036911725997924805;7.73098909048631 
8000;20;5;5;299226;0.03507566452026367;8.13567340502182 
8000;20;5;5;299226;0.034467458724975586;8.279233850048767 
4000;20;10;10;299226;0.034101009368896484;8.368202475005244 
4000;20;10;10;299226;0.04064130783081055;7.021529725100022 
4000;20;10;10;299226;0.0377352237701416;7.562275309117791 
5000;20;10;10;e;r;r 
5000;20;10;10;299226;0.034863948822021484;8.185078301306161 
5000;20;10;10;299226;0.03529620170593262;8.08484021534284 
6000;20;10;10;299226;0.032489776611328125;8.783198309263826 
6000;20;10;10;299226;0.0326993465423584;8.72690683990638 
6000;20;10;10;299226;0.03529787063598633;8.084457953394123 
7000;20;10;10;299226;0.034567832946777344;8.255193533257925 
7000;20;10;10;299226;0.03640270233154297;7.839092504781116 
7000;20;10;10;299226;0.03270149230957031;8.726334208223973 
